# GREAT version 4.0.4	Species assembly: hg38	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
peak0	PDZD8 (+33125), SLC18A2 (+101249)
peak4292	CHD8 (-36195), TOX4 (-8852)
peak4293	PREP (-421843), PRDM1 (-261393)
peak4294	TTLL5 (+63334), TGFB3 (+256579)
peak4295	LGR4 (+153547), BBOX1 (+278237)
peak4296	SEPT4 (-75373), ENSG00000266826 (+75827)
peak4297	DPH5 (+19123), SLC30A7 (+110573)
peak4298	BCL2 (+221335), PHLPP1 (+383343)
peak4299	TBX2 (-535191), BCAS3 (+185247)
peak4300	ARMC2 (-212756), FOXO3 (+74800)
peak4301	FECH (+5248), ONECUT2 (+145721)
peak4302	MCM6 (-55882), DARS (+53376)
peak4303	CASR (-82595), CD86 (+46365)
peak4304	PODXL (-881520), PLXNA4 (+139174)
peak4305	UBE3A (-352016), ATP10A (+72679)
peak4306	UBAC2 (-173265), DOCK9 (-49519)
peak4307	PTGIS (-124970), B4GALT5 (+20762)
peak4308	C11orf24 (-33891), LRP5 (-6756)
peak4309	BATF (-63191), JDP2 (+27100)
peak4310	SCN4A (-36759), ICAM2 (+10957)
peak4311	RIF1 (+13212), NEB (+311334)
peak4312	MAP3K1 (-756484), IL6ST (-64097)
peak4313	GUCY1A3 (-155770), MAP9 (-134458)
peak4314	FDX1 (+26059), ARHGAP20 (+256786)
peak4315	APLNR (-74374), TNKS1BP1 (+10622)
peak4316	DLD (-75475), SLC26A3 (-12288)
peak4317	MTNR1B (-516401), FAT3 (+100778)
peak4318	RNF217 (-897903), NKAIN2 (+260501)
peak4319	PTCD2 (+27822), ZNF366 (+159538)
peak4320	CROCC (-243644), NBPF1 (-64819)
peak4321	BCL2L13 (+34667), BID (+100765)
peak4322	CTH (+93273), PTGER3 (+543243)
peak4323	ENPEP (+8130), PITX2 (+138900)
peak4324	KAT6B (-144092), ADK (+531304)
peak4325	GPR88 (-123165), CDC14A (+62481)
peak4326	PPP2R5C (-165321), DIO3 (+35126)
peak4327	ERI3 (+38687), DMAP1 (+103030)
peak4328	LRRTM2 (-270185), SIL1 (+52923)
peak4329	CLDN14 (+8653), CHAF1B (+86059)
peak4330	OTOGL (-164739), PPP1R12A (-109516)
peak4331	FSTL4 (+103011), HSPA4 (+457591)
peak4332	SMAGP (-48178), BIN2 (+5130)
peak4333	NSRP1 (+5171), SLC6A4 (+114016)
peak4334	B3GAT2 (+92392), SMAP1 (+196870)
peak4335	MAX (-200458), FUT8 (-107664)
peak4336	ST7 (+57182), WNT2 (+312780)
peak4337	SELENOP (-72411), ANXA2R (+158680)
peak4338	TET3 (+67104), BOLA3 (+94486)
peak4339	SNX22 (-40589), SNX1 (+15135)
peak4340	ACAT1 (-51371), CUL5 (+61412)
peak4341	CD70 (-25002), TNFSF14 (+54447)
peak4342	SLC24A2 (-422325), MLLT3 (+413290)
peak4343	RUNX1 (-39343), SETD4 (+971574)
peak4344	SLC1A4 (-289093), SERTAD2 (-46395)
peak4345	CD109 (+23105)
peak4346	PRNT (-54906), RASSF2 (+28071)
peak4347	C18orf25 (-17393), HAUS1 (+52302)
peak4348	PXK (+25422), PDHB (+75550)
peak4349	CSF2RB (-11731), NCF4 (+40909)
peak4350	NONE
peak4351	CA8 (-209543), RAB2A (-25902)
peak4352	NFYA (+31109), TREML1 (+50278)
peak4353	TBC1D32 (+12981)
peak4354	BBS5 (-85950), LRP2 (-30543)
peak4355	USP44 (-58254), NTN4 (+181014)
peak4356	DYNLRB2 (-791886), MAF (-148134)
peak4357	RLN1 (-44710), PLGRKT (+53295)
peak4358	STXBP5 (-413642), ADGB (+191926)
peak4359	ENSG00000259060 (-15577), OR6S1 (+16319)
peak4360	ZNF827 (+130525), MMAA (+189847)
peak4361	ARID1A (-113088), RPS6KA1 (+37093)
peak4362	SLC16A10 (-45)
peak4363	CDC42SE2 (+125594), RAPGEF6 (+245417)
peak4364	SLC16A14 (+761)
peak4365	MTMR7 (-83716), SLC7A2 (-41734)
peak4366	POFUT2 (+21153), ADARB1 (+95103)
peak4367	AKAP13 (-279972), PDE8A (+120317)
peak4368	MLIP (-256395), LRRC1 (+60073)
peak4369	TGFB3 (+109043), TTLL5 (+210870)
peak4370	CABYR (-203093), LAMA3 (+246559)
peak4371	DSCAM (-283878), BACE2 (-36784)
peak4372	TNFSF11 (-200547), AKAP11 (+101453)
peak4373	RGS9 (+97945), AXIN2 (+326228)
peak4374	IL4R (-39918), NSMCE1 (-5201)
peak4375	ERBB4 (-563001), IKZF2 (+49761)
peak4376	RIMBP2 (-279326), STX2 (+42003)
peak4377	KITLG (-484641), DUSP6 (+288169)
peak4378	TLR1 (-14895), TLR6 (+37131)
peak4379	MCC (-18903), YTHDC2 (-5950)
peak4380	FASLG (+160399), TNFSF18 (+231546)
peak4381	CALD1 (-110099), BPGM (+22720)
peak4382	SCEL (-190321), MYCBP2 (-18760)
peak4383	NSMAF (-322550), TOX (+137124)
peak4384	ATP8B4 (-44226), SLC27A2 (-18748)
peak4385	CCDC50 (-80901), OSTN (+35651)
peak4386	MYOF (+68558), CYP26A1 (+339746)
peak4387	NFATC1 (-120077), ATP9B (+206754)
peak4388	MYC (+27541)
peak4389	HMGCS1 (-69372), CCL28 (+29526)
peak4390	PIM1 (+32729), TMEM217 (+54664)
peak4391	HS3ST1 (-40813)
peak4392	TTC30A (-149007), PDE11A (+304782)
peak4393	ENPP6 (-55898), IRF2 (+200721)
peak4394	DRD2 (+35570), ANKK1 (+52028)
peak4395	MSI2 (+206951), CCDC182 (+281827)
peak4396	RAP1A (+35236), FAM212B (+84405)
peak4397	RYR2 (+298831), ZP4 (+549886)
peak4398	GTSF1L (-98270), TOX2 (-89596)
peak4399	CHAC2 (-363534)
peak4400	NCOR2 (-357168), SCARB1 (+11427)
peak4401	ZNF608 (+401849), CSNK1G3 (+797942)
peak4402	TPD52 (-270580), ZBTB10 (-134271)
peak4403	AHDC1 (-21637), FGR (+10008)
peak4404	CDC42SE2 (+58205), RAPGEF6 (+312806)
peak4405	RAX (-117)
peak4406	ATP2A3 (-146071), ZZEF1 (+32658)
peak4407	PPP1R26 (-119856), OLFM1 (+272207)
peak4408	TRIM25 (-20490), COIL (+26526)
peak4409	OR4D2 (-16187), OR4D1 (+4765)
peak4410	MRPL17 (-53546), OR2AG2 (+35029)
peak4411	PAQR3 (-224516), NAA11 (+162096)
peak4412	ATXN1 (+70640), GMPR (+452236)
peak4413	UGCG (-57166), GNG10 (+178265)
peak4414	GGACT (-36049), TMTC4 (+54749)
peak4415	UTRN (+19138)
peak4416	FBXO5 (+30799), VIP (+201421)
peak4417	ZNF703 (-357254), KCNU1 (+554123)
peak4418	C5orf30 (+95087), NUDT12 (+209004)
peak4419	COL8A1 (-666911), DCBLD2 (-69875)
peak4420	TRAF3IP3 (-21861), HSD11B1 (+50457)
peak4421	ZCCHC2 (-126334), TNFRSF11A (+71358)
peak4422	CD96 (-240503), NECTIN3 (+229872)
peak4423	SLC39A8 (-102484), NFKB1 (-53706)
peak4424	SOX13 (+31274), ETNK2 (+47016)
peak4425	HSPBAP1 (-1287), DIRC2 (+316)
peak4426	EMCN (-501924), PPP3CA (+327463)
peak4427	BMP6 (-79094), SNRNP48 (+57504)
peak4428	ECHDC1 (-60995), KIAA0408 (+55521)
peak4429	HSPA9 (-151631), CTNNA1 (-26348)
peak4430	GJD4 (-142109), CCNY (+126427)
peak4431	ERBIN (-157135), NLN (+47442)
peak4432	ITM2C (-93961), CAB39 (+58094)
peak4433	PLEKHA7 (+27782), C11orf58 (+248229)
peak4434	ENTPD3 (-49723), EIF1B (+27749)
peak4435	EFCAB10 (-185037), ATXN7L1 (+110067)
peak4436	SLC24A2 (-188741), MLLT3 (+646874)
peak4437	SGK3 (-95087), C8orf44 (+12476)
peak4438	ZNF593 (-30719), PDIK1L (+27315)
peak4439	SAMD3 (+12824), L3MBTL3 (+189364)
peak4440	LRRN3 (-4295)
peak4441	GORASP2 (-107519), GAD1 (+4445)
peak4442	ZMIZ2 (-131273), OGDH (+11019)
peak4443	FBXO17 (-2237)
peak4444	CD47 (+170230), BBX (+397808)
peak4445	GNAO1 (+10464), AMFR (+223291)
peak4446	RUSC2 (-265459), UNC13B (+111181)
peak4447	ITGB3 (-33115), MYL4 (+11669)
peak4448	ANLN (+137431), AOAH (+197212)
peak4449	FOXN3 (-132164), EFCAB11 (+203395)
peak4450	PIM1 (-59443), FGD2 (+105113)
peak4451	ITGA4 (-151500), UBE2E3 (+325119)
peak4452	PCDH17 (-1805)
peak4453	EIF4E (-920)
peak4454	GBP6 (-84996), GBP5 (-8199)
peak4455	IFIT1B (-10309), IFIT3 (+39853)
peak4456	GADD45G (+52959), DIRAS2 (+985133)
peak4457	CCDC8 (-109603), CALM3 (-78049)
peak4458	CASTOR2 (+33866), RCC1L (+75109)
peak4459	BCL7B (-8473), TBL2 (+12642)
peak4460	SLC38A11 (-36479), SCN3A (+212078)
peak4461	MAN1C1 (-54816), LDLRAP1 (+19072)
peak4462	CLUAP1 (+8757), NLRC3 (+67622)
peak4463	HEMGN (+11)
peak4464	GLMN (-140511), GFI1 (+44467)
peak4465	THEM4 (-15570), S100A10 (+69012)
peak4466	PLXNA4 (-89300), CHCHD3 (+415481)
peak4467	GATA3 (+270936)
peak4468	LGALS9 (+1359), NOS2 (+169342)
peak4469	CRIM1 (-208955)
peak4470	NSUN7 (-197962), RBM47 (-37177)
peak4471	C1orf21 (-276509), TSEN15 (+58872)
peak4472	RET (-275616), BMS1 (+18610)
peak4473	ISM2 (-100055), SPTLC2 (+17868)
peak4474	INO80D (+54883), NRP2 (+348799)
peak4475	CHMP6 (-427921), RPTOR (+18652)
peak4476	BCL2 (+278842), PHLPP1 (+325836)
peak4477	THAP4 (+17135), BOK (+61593)
peak4478	NAV2 (-432375), E2F8 (-39602)
peak4479	PSD3 (-201124), SH2D4A (-98807)
peak4480	TREML2 (+588)
peak4481	NIPAL4 (+5007), ADAM19 (+110749)
peak4482	CEP350 (-43665), TOR1AIP1 (+29031)
peak4483	RAP1B (-147824), MDM1 (-130683)
peak4484	ARTN (-100995), ST3GAL3 (+124792)
peak4485	DAPL1 (-248326), PKP4 (+89879)
peak4486	MYO16 (+533088), IRS2 (+624257)
peak4487	VLDLR (-566379), SMARCA2 (+33510)
peak4488	PITX1 (-357697), H2AFY (+7627)
peak4489	ENSG00000263809 (-10693), RNF222 (+3946)
peak4490	STK17B (-359531), HECW2 (+61505)
peak4491	TCF24 (+44676), MCMDC2 (+47165)
peak4492	GM2A (+11413), SLC36A3 (+39191)
peak4493	RTFDC1 (-13681), CASS4 (+42792)
peak4494	CCR4 (+72348), TMPPE (+72879)
peak4495	GAB2 (+85465), USP35 (+143434)
peak4496	FFAR2 (-66217), GPR42 (+10794)
peak4497	NDST4 (-158514)
peak4498	ZZZ3 (+26805), AK5 (+373802)
peak4499	PITRM1 (-49508), KLF6 (+562926)
peak4500	TINAG (-16524), MLIP (+180483)
peak4501	CNNM2 (+17895), NT5C2 (+257118)
peak4502	GLDC (-104958), KDM4C (-6915)
peak4503	PTPN9 (-27505), SNUPN (+18894)
peak4504	RIN3 (+55578), LGMN (+179327)
peak4505	THAP4 (+16926), BOK (+61802)
peak4506	FGFBP2 (-582)
peak4507	PLOD2 (-94)
peak4508	ADARB2 (+237649), WDR37 (+450289)
peak4509	PIK3R6 (-48643), PIK3R5 (+49392)
peak4510	KCNMA1 (+629718)
peak4511	URI1 (-76201), CCNE1 (+54152)
peak4512	BCOR (-321520), ATP6AP2 (-161952)
peak4513	ARID3B (-58302), UBL7 (-21802)
peak4514	RERE (-12216), ENO1 (+49009)
peak4515	TLR8 (-16002), TLR7 (+23554)
peak4516	DBX2 (-149475), ANO6 (-15511)
peak4517	XPNPEP1 (+13113)
peak4518	SLC6A13 (-10678), KDM5A (+115940)
peak4519	RYBP (-187782), SHQ1 (+214077)
peak4520	LRRC8D (-118897), LRRC8C (+69063)
peak4521	FOXN2 (-377522), FBXO11 (-31395)
peak4522	CENPO (-213595), NCOA1 (+87618)
peak4523	UGCG (-25873), GNG10 (+209558)
peak4524	SERPINB9 (-37352), SERPINB6 (+30416)
peak4525	IL1R2 (-4618)
peak4526	BCOR (+160399)
peak4527	NRF1 (-67114), STRIP2 (+128531)
peak4528	TGM5 (-3918)
peak4529	DYRK2 (-58144), CAND1 (+321296)
peak4530	THSD7B (-635760), CXCR4 (-13542)
peak4531	HERPUD1 (-14806), SLC12A3 (+52035)
peak4532	HHAT (+45026), ENSG00000284299 (+760146)
peak4533	TP53I11 (-130209), PRDM11 (-66974)
peak4534	ADAM17 (-35140), YWHAQ (+39688)
peak4535	FOXO1 (+180554), COG6 (+830366)
peak4536	TMEM200A (-171391), SAMD3 (-49839)
peak4537	MTRNR2L3 (-19553), RBM38 (-11874)
peak4538	SLC7A10 (-54780), CEBPA (+21934)
peak4539	DENND3 (-101636), PTK2 (-25827)
peak4540	MRPS10 (-150476), TRERF1 (+83710)
peak4541	DLG1 (-27477), BDH1 (+229934)
peak4542	VPS33A (-21446), CLIP1 (+134602)
peak4543	ZFAND3 (+167676), BTBD9 (+652749)
peak4544	DPH5 (-142366), S1PR1 (-68750)
peak4545	NUDT12 (-485657)
peak4546	TRPS1 (+547895)
peak4547	CCDC150 (-37968), HECW2 (-9053)
peak4548	RUNX1 (+120457), CLIC6 (+259498)
peak4549	CDK5RAP1 (+31913), BPIFB1 (+86513)
peak4550	PGAP1 (-136125), ANKRD44 (+247810)
peak4551	CPEB4 (-207833), BOD1 (-63787)
peak4552	GNS (+2928), RASSF3 (+146006)
peak4553	MYZAP (-50969), CGNL1 (+164467)
peak4554	PRDX6 (-254366), TNFSF4 (-15587)
peak4555	FIGNL1 (-97139), DDC (+18594)
peak4556	BCR (+62928), IGLL1 (+337170)
peak4557	RYBP (-40945), SHQ1 (+360914)
peak4558	TNNI1 (-32477), PHLDA3 (+14961)
peak4559	ZBED2 (+13212), CD96 (+40113)
peak4560	FUT8 (-230424), MAX (-77698)
peak4561	TOB1 (-249)
peak4562	LIMK2 (-8229), RNF185 (+80065)
peak4563	IL18BP (-52612), RNF121 (+17750)
peak4564	ACBD5 (+14967), MASTL (+70478)
peak4565	LONP2 (+40975), SIAH1 (+80630)
peak4566	SOCS1 (+54384), CLEC16A (+257307)
peak4567	NEK2 (-64217), LPGAT1 (+90937)
peak4568	SPOCD1 (-11497), PTP4A2 (+91935)
peak4569	TLE3 (-461223), UACA (+204194)
peak4570	CCR1 (-28029), CCR3 (-5956)
peak4571	MKRN1 (+25056), RAB19 (+50470)
peak4572	DNALI1 (+18377), GNL2 (+20625)
peak4573	SAMD9L (-12231), HEPACAM2 (+65870)
peak4574	RYR2 (+225732), ZP4 (+622985)
peak4575	SMOC1 (+139665), SLC8A3 (+169989)
peak4576	NBAS (+233461)
peak4577	TMEM247 (-91979), EPAS1 (+90184)
peak4578	GNB5 (-55841), MYO5C (+48588)
peak4579	N4BP3 (-22506), FAM153C (+81952)
peak4580	ZC3HAV1L (-48107), ZC3HAV1 (+25512)
peak4581	RARS (-4843)
peak4582	LRIG3 (+280894), ATP23 (+698051)
peak4583	MFF (+10674), TM4SF20 (+43393)
peak4584	PTBP2 (+144037)
peak4585	TIGD2 (+172317), SNCA (+554498)
peak4586	NUBP1 (+22121), TVP23A (+52819)
peak4587	CNTNAP1 (+24281), EZH1 (+38136)
peak4588	MAPK1 (-9119), PPM1F (+76089)
peak4589	PIK3CA (+33876), KCNMB3 (+69216)
peak4590	SIX3 (-135009), CAMKMT (+444925)
peak4591	CLEC2B (+280)
peak4592	FBXO22 (+20078), NRG4 (+88507)
peak4593	ESM1 (+232477), SNX18 (+235321)
peak4594	SRR (-21238), HIC1 (+226156)
peak4595	CCDC68 (-291431), TCF4 (+385088)
peak4596	FGF2 (-80034), BBS12 (+13972)
peak4597	MX1 (-51)
peak4598	NABP1 (-27393), MYO1B (+405750)
peak4599	TSPYL5 (-350255), MTDH (-15960)
peak4600	PI16 (-6323), C6orf89 (+62246)
peak4601	MYOF (+95164), CYP26A1 (+313140)
peak4602	PSMG1 (-41296), BRWD1 (+88672)
peak4603	PIK3R6 (-88969), PIK3R5 (+9066)
peak4604	RHPN2 (0)
peak4605	BMP8A (-401131), MACF1 (+6348)
peak4606	NCOA3 (-3467)
peak4607	FAM49B (-308837), ASAP1 (+194991)
peak4608	UTP18 (+196553), CA10 (+701646)
peak4609	ST3GAL1 (-272432), ZFAT (+868681)
peak4610	ATP8A1 (+17932), SHISA3 (+241334)
peak4611	PARP11 (-287415), CCND2 (-112983)
peak4612	NFE2L3 (+15170), HNRNPA2B1 (+33336)
peak4613	RAD21 (-4259)
peak4614	FOXF1 (-499597), IRF8 (+112127)
peak4615	SLC9A8 (-61452), B4GALT5 (-37383)
peak4616	PRKCQ (+17141), PFKFB3 (+416844)
peak4617	CRYBG3 (+61386), RIOX2 (+89031)
peak4618	RBMS3 (-24769), ENSG00000283563 (+907399)
peak4619	UQCRFS1 (-301525), VSTM2B (-11433)
peak4620	CDH26 (+250883)
peak4621	ZBP1 (-7998), PMEPA1 (+81431)
peak4622	RIN3 (+44830), LGMN (+190075)
peak4623	C3orf62 (-55348), USP4 (+6814)
peak4624	ILVBL (-10925), NOTCH3 (+64271)
peak4625	CCRL2 (+25725), LTF (+31880)
peak4626	GALNT15 (+12132), DPH3 (+78191)
peak4627	MAP3K15 (-210596), SH3KBP1 (+161744)
peak4628	CAP1 (-24796), MFSD2A (+60287)
peak4629	IRS1 (+8357)
peak4630	RP1L1 (+24524), PRSS55 (+105032)
peak4631	ITGAE (+12811), HASPIN (+64529)
peak4632	AMOTL1 (+8237), CWC15 (+197004)
peak4633	SLC27A2 (-46727), ATP8B4 (-16247)
peak4634	DUSP4 (-266744), SARAF (+465795)
peak4635	TFRC (-29889), ZDHHC19 (+99317)
peak4636	YWHAZ (-156261), ZNF706 (+96043)
peak4637	ST3GAL5 (-191774), POLR1A (+25326)
peak4638	SRSF5 (-50731), SUSD6 (+64573)
peak4639	STT3B (-528262), GADL1 (-109763)
peak4640	DKK2 (-383449), PAPSS1 (+300706)
peak4641	HORMAD2 (-141685), MTMR3 (+55334)
peak4642	NR2F2 (-455262)
peak4643	RAB28 (-24735), NKX3-2 (+35950)
peak4644	ABCC4 (+483)
peak4645	CCL25 (-638)
peak4646	ANKRD10 (-128718), ARHGEF7 (-71490)
peak4647	C21orf59 (-12057), SYNJ1 (+103125)
peak4648	APOBEC3H (+24949), CBX7 (+30426)
peak4649	TOX2 (+348)
peak4650	PMFBP1 (-485739), ZFHX3 (+473100)
peak4651	STON1 (-21196), PPP1R21 (+68193)
peak4652	C2orf40 (-311425), NCK2 (+9334)
peak4653	PEX5L (-292395), TTC14 (-272805)
peak4654	SKIV2L2 (+57167), PLPP1 (+170042)
peak4655	RFXAP (+15277), SMAD9 (+85771)
peak4656	PROKR1 (-122273), APLF (+53755)
peak4657	BICD1 (-303475), H3F3C (-11513)
peak4658	DDX47 (-4964)
peak4659	ALOX5AP (-85615), USPL1 (+10080)
peak4660	MYBL1 (+23406), ADHFE1 (+157357)
peak4661	OCLM (+8755), PDC (+51795)
peak4662	KLF4 (+1117), RAD23B (+205250)
peak4663	MYRIP (-268860), MOBP (+73065)
peak4664	PHLDB2 (+533)
peak4665	CAPZA1 (-61425), WNT2B (+48970)
peak4666	HS3ST1 (-542750)
peak4667	DYNC1I1 (+149189), SLC25A13 (+400368)
peak4668	EID1 (+10575), SHC4 (+74983)
peak4669	C1orf186 (+654)
peak4670	DPH5 (-111549), S1PR1 (-99567)
peak4671	RRAS2 (-16313), COPB1 (+124355)
peak4672	GPR65 (+39876), KCNK10 (+278249)
peak4673	TGIF1 (+192132), DLGAP1 (+811526)
peak4674	GALM (+25182), SRSF7 (+60402)
peak4675	IL13RA1 (-191137), DOCK11 (+40526)
peak4676	SUPT3H (-332025), CLIC5 (+370437)
peak4677	RUNX1 (-47912), SETD4 (+963005)
peak4678	BCL11A (-123662), PAPOLG (-79070)
peak4679	SIGLEC9 (-1253)
peak4680	TBC1D30 (+1845), WIF1 (+295149)
peak4681	PRR5 (-221623), KIAA1644 (-142611)
peak4682	CD47 (-34762), IFT57 (+96794)
peak4683	VPS13A (-297)
peak4684	HINT3 (-32400), NCOA7 (+133618)
peak4685	ENSG00000240045 (-261563), PLCH1 (+120701)
peak4686	ACTR3 (+33848)
peak4687	TULP1 (-98468), FKBP5 (+117177)
peak4688	ENPEP (+11894), PITX2 (+135136)
peak4689	TRIB2 (-228336), LPIN1 (+810958)
peak4690	SHISA3 (+62419), ATP8A1 (+196847)
peak4691	ATG10 (-153799), SSBP2 (-66973)
peak4692	VRK1 (+980022)
peak4693	TBX2 (-231189), BCAS3 (+489249)
peak4694	ARHGAP15 (+299644), GTDC1 (+806782)
peak4695	CDCA7 (-115111), MAP3K20 (+163791)
peak4696	MYRIP (-303457), MOBP (+38468)
peak4697	INSC (+122572)
peak4698	LNPEP (+38514), LIX1 (+168894)
peak4699	EFNB1 (+87014), PJA1 (+249510)
peak4700	GLRX (+23977), RHOBTB3 (+67562)
peak4701	ELF5 (-114787), EHF (-5878)
peak4702	RGS6 (+132376), DPF3 (+827834)
peak4703	PTGER4 (-199287)
peak4704	WASF2 (+45326), GPR3 (+52188)
peak4705	DENR (-14005), HCAR1 (-7926)
peak4706	SPIN4 (-366822), ARHGEF9 (+36947)
peak4707	PCDH18 (-646310), SLC7A11 (+63564)
peak4708	PON3 (-15928), PON2 (+22909)
peak4709	COL3A1 (+4133), COL5A2 (+201426)
peak4710	USP36 (-50047), CEP295NL (+12484)
peak4711	GDF10 (-42399), PTPN20 (+325564)
peak4712	HPSE (-22236), HELQ (+98467)
peak4713	DTHD1 (+102016)
peak4714	HERC1 (+102024), FBXL22 (+134511)
peak4715	MCTP2 (+89766)
peak4716	STX18 (-221077), MSX1 (-96561)
peak4717	GNA14 (-153072), GNAQ (+230079)
peak4718	JARID2 (-610915), CD83 (+517740)
peak4719	SERPIND1 (-216143), MED15 (+50126)
peak4720	DYNLRB2 (-921769), MAF (-18251)
peak4721	PDE7B (-246274), AHI1 (-107677)
peak4722	NR5A2 (-753469), ATP6V1G3 (-733459)
peak4723	EPC2 (-54225), MBD5 (+569748)
peak4724	SUPT16H (-30026), CHD8 (+17416)
peak4725	PRC1 (+12154), RCCD1 (+27471)
peak4726	HYKK (-67431), IREB2 (+7469)
peak4727	TRDMT1 (-4836)
peak4728	ESM1 (+191424), SNX18 (+276374)
peak4729	RUNX1 (+106230), CLIC6 (+273725)
peak4730	FASLG (+66446), TNFSF18 (+325499)
peak4731	PTP4A2 (-62784), KHDRBS1 (-31562)
peak4732	ITGA1 (-11596)
peak4733	LIN28A (-26489), ZNF683 (-11514)
peak4734	DRD2 (+27205), ANKK1 (+60393)
peak4735	GALNT10 (-143148), MFAP3 (+8589)
peak4736	PTGER4 (-100798)
peak4737	CXADR (-20192)
peak4738	MIS12 (+40567), NLRP1 (+57571)
peak4739	SLC45A1 (+249531), RERE (+250108)
peak4740	TMEM9B (-22810), NRIP3 (+16466)
peak4741	VSIG8 (-17994), CFAP45 (+19512)
peak4742	USP34 (+114078), AHSA2 (+179162)
peak4743	BRPF3 (-24922), MAPK13 (+41501)
peak4744	KL (-98704), PDS5B (+331302)
peak4745	CYCS (-33700), C7orf31 (+21293)
peak4746	PDE4D (+231360)
peak4747	GTSF1L (-113018), TOX2 (-74848)
peak4748	SAR1B (+27917), JADE2 (+79414)
peak4749	TNIP3 (-80952), QRFPR (+72641)
peak4750	PPP1CB (-219238), PLB1 (+36544)
peak4751	CTNND2 (-137)
peak4752	NR3C1 (-356603), HMHB1 (-51869)
peak4753	PIK3R6 (-86839), PIK3R5 (+11196)
peak4754	SWAP70 (-23981), WEE1 (+66415)
peak4755	TMEM135 (+45260)
peak4756	TULP1 (-197445), FKBP5 (+18200)
peak4757	PRKCQ (-466038), SFMBT2 (+365147)
peak4758	NFATC2 (-88528), ATP9A (+137387)
peak4759	FASLG (+120157), TNFSF18 (+271788)
peak4760	RAP1B (-159482), MDM1 (-119025)
peak4761	HLX (+190377), DUSP10 (+672399)
peak4762	DPF3 (+178340), RGS6 (+781870)
peak4763	GLDC (+47176), UHRF2 (+185284)
peak4764	ATP6V1G3 (+176756), NEK7 (+206955)
peak4765	RPIA (+62701)
peak4766	TC2N (-13647), FBLN5 (+66647)
peak4767	GPAT3 (+94452), NKX6-1 (+868084)
peak4768	CD74 (+18364), TCOF1 (+36748)
peak4769	RUNX1 (-178176), SETD4 (+832741)
peak4770	DIP2A (-90416), PCNT (+44573)
peak4771	PTGER2 (+86634), TXNDC16 (+151477)
peak4772	MEGF9 (-40766), FBXW2 (+38176)
peak4773	MYC (+563086)
peak4774	FLI1 (+64293), KCNJ1 (+84471)
peak4775	VGLL4 (-155864), TAMM41 (+46984)
peak4776	PLXNC1 (+32032), CEP83 (+279197)
peak4777	OTULIN (-249566), TRIO (+271480)
peak4778	KCNK1 (-108693), MAP3K21 (+177543)
peak4779	OCIAD1 (+8867), OCIAD2 (+66877)
peak4780	UNC80 (-129421), MAP2 (+63151)
peak4781	C9orf129 (-55146), FAM120A (-50162)
peak4782	CDK6 (-134793), SAMD9 (+149313)
peak4783	HRH4 (+6347), ZNF521 (+885176)
peak4784	RAPGEF1 (+64340), ENSG00000283526 (+99867)
peak4785	PFKFB3 (+27091), PRKCQ (+406894)
peak4786	GBP4 (-60704), GBP5 (+11227)
peak4787	OPRM1 (-874600), RGS17 (-91858)
peak4788	OFCC1 (+418321)
peak4789	FOXN3 (+276941), TTC8 (+518036)
peak4790	NR3C1 (-295617), HMHB1 (-112855)
peak4791	KCTD4 (-103364), TPT1 (+43203)
peak4792	GPHB5 (-159836), PPP2R5E (+64659)
peak4793	USP28 (+34096), CLDN25 (+61727)
peak4794	EFHB (+2715), KCNH8 (+783011)
peak4795	FAM133B (-92934), CDK6 (+150589)
peak4796	FUT8 (+27938)
peak4797	GMNN (-31432), C6orf62 (-22670)
peak4798	SCHIP1 (-8161)
peak4799	GTDC1 (-107573), ZEB2 (+177082)
peak4800	PUS10 (-99424), C2orf74 (-27390)
peak4801	MMADHC (-580227), RND3 (+319838)
peak4802	C6orf58 (+5749), THEMIS (+318150)
peak4803	DNASE2B (-231550), PRKACB (+22711)
peak4804	SLC35G5 (-35395), MTMR9 (+11077)
peak4805	XKR8 (-15914), SMPDL3B (+8555)
peak4806	NKX6-3 (-123238), ANK1 (+126165)
peak4807	UBE3A (-373108), ATP10A (+51587)
peak4808	TTF2 (-51065), CD101 (+7426)
peak4809	CCDC68 (-392902), TCF4 (+283617)
peak4810	LPP (-289617), BCL6 (-177589)
peak4811	TMEM242 (+171393), ARID1B (+374834)
peak4812	GPR12 (-236431), USP12 (+174680)
peak4813	CUL1 (-114326)
peak4814	PPP1R12B (+139962), SYT2 (+154792)
peak4815	RBMS1 (+904)
peak4816	MLLT10 (+206849), DNAJC1 (+262533)
peak4817	SEPT4 (-75042), ENSG00000266826 (+76158)
peak4818	PRR15 (-274017), CPVL (-94518)
peak4819	C5orf42 (-81024), NUP155 (+40729)
peak4820	TLE3 (-210241), UACA (+455176)
peak4821	NR5A2 (-754741), ATP6V1G3 (-732187)
peak4822	BCKDHB (+66802)
peak4823	ZNF322 (-432055), HIST1H2BJ (+40943)
peak4824	TGOLN2 (+36385), TCF7L1 (+158229)
peak4825	STXBP5 (-348005), ADGB (+257563)
peak4826	WWOX (+695237), MAF (+806064)
peak4827	WRNIP1 (+34679), SERPINB1 (+41913)
peak4828	PIK3CB (-27541), FOXL2 (+160240)
peak4829	DAPK1 (-69)
peak4830	SP140L (-92123), SP140 (+9330)
